"sequence","order","cut_id","start","end","label","role"
"00_HOOK_C09_v6","1","PART_HOOK_01","3022.90","3035.80","HOOK_인간형조우_비명_붙잡힘_사망","콜드오픈"
"01_B01_v6","1","PART_B01_01","34.30","36.48","B01_인사_오늘해볼게임은","셋업"
"01_B01_v6","2","PART_B01_02","37.93","39.60","B01_최근에_영화백룸1","셋업"
"01_B01_v6","3","PART_B01_03","39.88","40.70","B01_영화백룸2","셋업"
"01_B01_v6","4","PART_B01_04","44.13","46.38","B01_시청하고왔어요","셋업"
"01_B01_v6","5","PART_B01_05","47.72","49.28","B01_그래서_이백룸이","셋업"
"01_B01_v6","6","PART_B01_06","49.88","52.33","B01_원래게임이_먼저","셋업"
"01_B01_v6","7","PART_B01_07","73.35","77.88","B01_리미널_궁금증1","셋업"
"01_B01_v6","8","PART_B01_08","78.37","80.70","B01_리미널_궁금증2","셋업"
"01_B01_v6","9","PART_B01_09","106.15","111.12","B01_어두운방에서_혼자","셋업"
"01_B01_v6","10","PART_B01_10","115.22","117.80","B01_무서울것같은데1","셋업"
"01_B01_v6","11","PART_B01_11","118.55","119.42","B01_무서울것같은데2","셋업"
"01_B01_v6","12","PART_B01_12","120.28","122.10","B01_어둡게해두고1","셋업"
"01_B01_v6","13","PART_B01_13","125.08","126.10","B01_어둡게해두고2","셋업"
"02_B02_v6","1","PART_B02_01","192.30","197.35","B02_무서운문구_사운드왜이래","공포예열"
"02_B02_v6","2","PART_B02_02","199.40","200.85","B02_사운드너무무섭잖아","공포예열"
"02_B02_v6","3","PART_B02_03","322.43","341.10","B02_도입_영화같은추격","게임도입"
"02_B02_v6","4","PART_B02_04","378.24","389.53","B02_탈출방해_사다리목표","게임도입"
"02_B02_v6","5","PART_B02_05","391.70","394.16","B02_출구로이동_목표완결","게임도입"
"02_B02_v6","6","PART_B02_06","416.93","423.05","B02_전자레인지환경음_첫인지","환경음모티프"
"02_B02_v6","7","PART_B02_07","531.30","540.95","B02_벽을등지고이동","초반공포"
"02_B02_v6","8","PART_B02_08","544.30","552.90","B02_못하겠다_소리확인","초반공포"
"03_B03_v6","1","PART_B03_01","612.27","646.99","B03_노크_살려줘","현실공포"
"03_B03_v6","2","PART_B03_02","653.75","657.00","B03_엔티티와숨바꼭질","엔티티설명"
"03_B03_v6","3","PART_B03_03","677.64","681.40","B03_백룸의엔티티정의","엔티티설명"
"03_B03_v6","4","PART_B03_04","710.56","714.60","B03_내그림자보고오싹","그림자놀람"
"03_B03_v6","5","PART_B03_05","736.50","757.30","B03_핸드폰갑자기점등","현실공포"
"04_B04_v6","1","PART_B04_01","846.14","871.95","B04_첫피격_비명_적응했습니다","허세시작"
"04_B04_v6","2","PART_B04_02","915.15","921.30","B04_여기서깨어나면_공감","공감"
"04_B04_v6","3","PART_B04_03","1059.75","1066.20","B04_나는클락이다","영화캐릭터"
"04_B04_v6","4","PART_B04_04","1084.52","1092.52","B04_무서워죽겠다_소름","공포표현"
"04_B04_v6","5","PART_B04_05","1093.53","1101.46","B04_전자레인지소리_콜백","환경음모티프"
"05_B05_v6","1","PART_B05_01","1106.41","1130.54","B05_실제비명_빈방질주","붕괴"
"05_B05_v6","2","PART_B05_02","1158.60","1176.13","B05_영화라서평온_세계안은불가","붕괴"
"05_B05_v6","3","PART_B05_03","1235.00","1245.30","B05_밤에불끄고혼자","공감"
"05_B05_v6","4","PART_B05_04","1246.12","1250.20","B05_혼자하니개무섭다","공감"
"06_B06_v6","1","PART_B06_01","1254.45","1261.73","B06_영화로는별거아니네","허세자백"
"06_B06_v6","2","PART_B06_02","1263.63","1273.48","B06_직접하니무서운줄몰랐다","허세자백"
"06_B06_v6","3","PART_B06_03","1280.12","1287.37","B06_마우스떨림","허세자백"
"06_B06_v6","4","PART_B06_04","1287.89","1294.03","B06_몸이바들바들","허세자백"
"07_B07_v6","1","PART_B07_01","1364.29","1372.58","B07_첫괴물회상_이제차분","자기설득"
"07_B07_v6","2","PART_B07_02","1376.14","1379.35","B07_마법주문_차분하게깨자","자기설득"
"07_B07_v6","3","PART_B07_03","1381.10","1388.24","B07_NPC일뿐_자기설득","자기설득"
"07_B07_v6","4","PART_B07_04","1446.46","1450.00","B07_무서운건무서운거지","자기설득실패"
"07_B07_v6","5","PART_B07_05","1477.98","1486.90","B07_문열림_바닥이상","첫방추락"
"07_B07_v6","6","PART_B07_06","1488.50","1497.42","B07_바닥추락_새공간","첫방추락"
"07_B07_v6","7","PART_B07_07","1648.34","1653.82","B07_다음맵진입_여기는뭔가","맵전환"
