"sequence","order","cut_id","start","end","label","role","timeline_start","video_track","audio_mode","audio_start","audio_end"
"INTEGRATED_CALIBRATION_V1","1","HOOK_01","2336.323","2341.940","엔티티를두고도발","훅_문맥_위협확인","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","2","HOOK_02","2342.740","2344.940","NPC수준허세","훅_피크_허세","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","3","HOOK_03","2346.190","2350.940","근데무서워빨리가","훅_결과_즉시붕괴","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","4","B01_01","43.616","46.860","영화백룸을보고옴","본편리셋_E01_동기","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","5","B01_02","47.824","52.095","원래게임이먼저있었음","E01_매체전환","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","6","B01_03","322.421","326.250","로비에서백룸화면으로","E02_진입문턱","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","7","B01_04","337.434","343.438","영화첫장면같은실제공간","E02_첫공간보상","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","8","B02_01","3422.890","3426.000","어두운공간이무섭다","E10_문제_암흑","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","9","B02_02","3502.090","3507.953","전원위치발견과작동","E10_행동_규칙발견","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","10","B02_03","3510.340","3513.940","나혼자공포게임","E10_결과_밝아짐","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","11","B02_04","3520.540","3522.940","혼자생쇼했네","E10_이완_코미디","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","12","B03_01","4270.832","4275.780","반복할수록무서움감소","E11_적응","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","13","B03_02","4342.274","4347.935","반복할수록익숙해짐","E11_학습회수","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","14","B03_03","4348.729","4351.259","처음상황이되면","E11_반전설정","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","15","B03_04","4352.059","4354.669","여전히공포감이남음","E11_메시지회수","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","16","B03_05","4790.368","4793.921","무서워서끝내는건아님","E14_허세_부인","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","17","B03_06","4864.420","4866.190","몸이너무긴장됨","E14_허세붕괴","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","18","B03_07","4914.041","4915.292","오늘방송여기까지","E14_중단","","1","linked","",""
"INTEGRATED_CALIBRATION_V1","19","B03_08","4920.340","4924.050","잠깐만너무긴장했어","E14_최종자백","","1","linked","",""
