"sequence","order","cut_id","start","end","label","role"
"FULL_전체18비트_v7","1","HOOK_01","3022.90","3035.80","HOOK_인간형조우_비명_붙잡힘_사망","콜드오픈"
"FULL_전체18비트_v7","2","B01_01","34.30","36.48","B01_인사_오늘해볼게임은","셋업"
"FULL_전체18비트_v7","3","B01_02","37.93","39.60","B01_최근에_영화백룸1","셋업"
"FULL_전체18비트_v7","4","B01_03","39.88","40.70","B01_영화백룸2","셋업"
"FULL_전체18비트_v7","5","B01_04","44.13","46.38","B01_시청하고왔어요","셋업"
"FULL_전체18비트_v7","6","B01_05","47.72","49.28","B01_그래서_이백룸이","셋업"
"FULL_전체18비트_v7","7","B01_06","49.88","52.33","B01_원래게임이_먼저","셋업"
"FULL_전체18비트_v7","8","B01_07","73.35","77.88","B01_리미널_궁금증1","셋업"
"FULL_전체18비트_v7","9","B01_08","78.37","80.70","B01_리미널_궁금증2","셋업"
"FULL_전체18비트_v7","10","B01_09","106.15","111.12","B01_어두운방에서_혼자","셋업"
"FULL_전체18비트_v7","11","B01_10","115.22","117.80","B01_무서울것같은데1","셋업"
"FULL_전체18비트_v7","12","B01_11","118.55","119.42","B01_무서울것같은데2","셋업"
"FULL_전체18비트_v7","13","B01_12","120.28","122.10","B01_어둡게해두고1","셋업"
"FULL_전체18비트_v7","14","B01_13","125.08","126.10","B01_어둡게해두고2","셋업"
"FULL_전체18비트_v7","15","B02_01","192.30","197.35","B02_진입전_문구와사운드에쫄림","게임진입·소리공포"
"FULL_전체18비트_v7","16","B02_02","199.40","200.85","B02_사운드만으로_공포확인","게임진입·소리공포"
"FULL_전체18비트_v7","17","B02_03","322.43","341.10","B02_게임진입_영화같은추격","게임진입·소리공포"
"FULL_전체18비트_v7","18","B02_08","544.30","552.90","B02_못하겠다_소리에반응","게임진입·소리공포"
"FULL_전체18비트_v7","19","B03_01","612.27","646.99","B03_현실침범_노크_살려줘","현실침범"
"FULL_전체18비트_v7","20","B03_04","710.56","714.60","B03_현실침범_그림자오인","현실침범"
"FULL_전체18비트_v7","21","B03_05","736.50","757.30","B03_현실침범_휴대폰점등","현실침범"
"FULL_전체18비트_v7","22","B04_01","846.14","871.95","B04_첫피격_비명_방어허세","첫붕괴·방어허세"
"FULL_전체18비트_v7","23","B04_04","1084.52","1092.52","B04_허세뒤_소름자백","첫붕괴·방어허세"
"FULL_전체18비트_v7","24","B05_01","1106.41","1130.54","B05_실제비명_빈방질주","핵심전환_공포사건→자각"
"FULL_전체18비트_v7","25","B05_02","1158.60","1176.13","B05_영화라서평온_세계안은불가","핵심전환_공포사건→자각"
"FULL_전체18비트_v7","26","B06_01","1254.45","1261.73","B06_영화로는별거아니네","핵심전환_신체증거"
"FULL_전체18비트_v7","27","B06_02","1263.63","1273.48","B06_직접하니무서운줄몰랐다","핵심전환_신체증거"
"FULL_전체18비트_v7","28","B06_03","1280.12","1287.37","B06_마우스떨림","핵심전환_신체증거"
"FULL_전체18비트_v7","29","B06_04","1287.89","1294.03","B06_몸이바들바들","핵심전환_신체증거"
"FULL_전체18비트_v7","30","B07_01","1364.29","1372.58","B07_첫괴물회상_이제차분","자기설득실패"
"FULL_전체18비트_v7","31","B07_02","1376.14","1379.35","B07_마법주문_차분하게깨자","자기설득실패"
"FULL_전체18비트_v7","32","B07_03","1381.10","1388.24","B07_NPC일뿐_자기설득","자기설득실패"
"FULL_전체18비트_v7","33","B07_04","1446.46","1450.00","B07_무서운건무서운거지","자기설득실패"
"FULL_전체18비트_v7","34","B07_05","1477.98","1486.90","B07_문열림_바닥이상","진행브리지"
"FULL_전체18비트_v7","35","B07_06","1488.50","1497.42","B07_바닥추락_새공간","진행브리지"
"FULL_전체18비트_v7","36","B07_07","1648.34","1653.82","B07_다음맵진입_여기는뭔가","진행브리지"
"FULL_전체18비트_v7","37","B07_09","1670.88","1677.58","B07_문열림_전환반응","진행브리지"
"FULL_전체18비트_v7","38","B07_13","1732.12","1739.34","B07_시커먼주차장_무섭다","진행브리지"
"FULL_전체18비트_v7","39","B08_01","2072.17","2073.87","B08_하나둘셋","추격"
"FULL_전체18비트_v7","40","B08_02","2074.33","2076.17","B08_넥타이_지나갔나","추격"
"FULL_전체18비트_v7","41","B08_03","2076.46","2077.41","B08_지나갔나2","추격"
"FULL_전체18비트_v7","42","B08_04","2082.00","2114.00","B08_나봤어_추격_뛰어뛰어","추격"
"FULL_전체18비트_v7","43","B08_05","2119.78","2120.29","B08_잠깐만","추격"
"FULL_전체18비트_v7","44","B08_06","2121.11","2123.42","B08_게임인거아는데_무섭다","추격"
"FULL_전체18비트_v7","45","B08_07","2124.36","2128.02","B08_아저기있어","추격"
"FULL_전체18비트_v7","46","B08_08","2139.98","2144.36","B08_개무서워_양팔벌리고","추격"
"FULL_전체18비트_v7","47","B08_09","2144.83","2145.59","B08_워익","추격"
"FULL_전체18비트_v7","48","B08_10","2145.94","2148.97","B08_워익공_왜안오겠지","추격"
"FULL_전체18비트_v7","49","B08_11","2182.00","2187.00","B08_뛰어오잖아또_수색","추격"
"FULL_전체18비트_v7","50","B08_12","2190.50","2233.50","B08_막다른곳_착하게살게요","추격"
"FULL_전체18비트_v7","51","B08_13","2239.71","2249.47","B08_왜안가_숨어봐_들어오냐","이완"
"FULL_전체18비트_v7","52","B08_14","2264.56","2265.27","B08_야아몬드물","이완"
"FULL_전체18비트_v7","53","B08_15","2265.84","2268.75","B08_먹어보자_아","이완"
"FULL_전체18비트_v7","54","B08_16","2269.45","2270.55","B08_안정을취해","이완"
"FULL_전체18비트_v7","55","B08_17","2271.53","2272.46","B08_좋아_할수있어","이완"
"FULL_전체18비트_v7","56","B09_01","2294.06","2301.87","B09_문닫으면못들어와","규칙적응_대표실험"
"FULL_전체18비트_v7","57","B09_04","2590.98","2595.19","B09_빼꼼은못봐","규칙적응_대표실험"
"FULL_전체18비트_v7","58","B09_05","2597.62","2602.22","B09_빼꼼괜찮다_불안","규칙적응_대표실험"
"FULL_전체18비트_v7","59","B10_01","2846.49","2849.46","B10_살아있는공략인가요","시청자의존_씨앗"
"FULL_전체18비트_v7","60","B10_02","2917.19","2925.80","B10_도움받아_레버성공","시청자의존_씨앗"
"FULL_전체18비트_v7","61","B10_03","2925.81","2927.73","B10_공략감사","시청자의존_씨앗"
"FULL_전체18비트_v7","62","B11_01","2995.81","2998.50","B11_훅사건직전_또괴물불안","훅사건_콜백"
"FULL_전체18비트_v7","63","B11_02","2998.91","2999.85","B11_훅사건직전_미치겠네","훅사건_콜백"
"FULL_전체18비트_v7","64","B11_03","3046.18","3051.03","B11_훅사건사후_인간형해석","훅사건_콜백"
"FULL_전체18비트_v7","65","B11_04","3055.58","3057.27","B11_훅사건사후_공포재확인","훅사건_콜백"
