"change_id","target","action","before","after","reason","evidence"
"V7_01","B02","압축·역할 재정의","8컷 63.29초","4컷 33.77초","목표·UI·환경음 반복을 빼고 진입 전 사운드 공포→게임 진입→소리 반응만 남김","SRT 192.40~204.56, 314.94~347.60, 544.30~552.44; C02·intro·early_fear 화면 근거"
"V7_02","B03","설명 제거","5컷 66.57초","3컷 59.56초","엔티티 정의를 제거해 노크·그림자·휴대폰 점등의 현실 침범 기능에 집중","SRT 612.27~646.80, 707.35~713.96, 736.42~754.48"
"V7_03","B04","사건 집중","5컷 54.34초","2컷 33.81초","첫 피격→비명→방어 허세와 뒤이은 소름 자백만 남김","SRT 846.23~871.88, 1084.52~1092.52"
"V7_04","B05+B06","핵심 전환 연결","8컷 86.56초","6컷 72.18초","B01에서 이미 밝힌 어두운 방 설명을 반복하지 않고 비명→영화와 현실 차이→떨림 증거를 연속 배치","SRT 1102.68~1175.30, 1254.39~1293.62"
"V7_05","B07","최우선 재설계","18컷 122.82초","9컷 59.42초","자기설득 실패를 스파인으로 두고 추락·맵 전환만 진행 브리지로 남김","C08·fall·transition 화면 근거; 규칙 읽기·환경음 반복·추가 추격 제거"
"V7_06","B09","대표 실험만 유지","5컷 26.34초","3컷 16.62초","문 닫기와 빼꼼 관찰 두 규칙만 남겨 적응 증거를 선명하게 함","SRT 2294.65~2302.94, 2589.29~2602.94"
"V7_07","B10","시청자 의존 씨앗 압축","4컷 18.73초","3컷 13.50초","실제 발화의 도움 요청→레버 성공→감사만 남겨 B17 회수 준비","SRT 2840.94~2848.94, 2917.19~2927.94"
"V7_08","B11","훅 콜백으로 재정의","조우·사망처럼 보이는 표기","훅 직전 불안→훅 사건 사후 인간형 해석","본문에 없는 사건을 다시 넣지 않고 오프닝 사건의 전후 반응이라는 실제 구성에 맞춤","원본 2995.81~2999.85와 3046.18~3057.27; 훅 3022.90~3035.80"
"V7_09","B14","행동 증거 추가","선언 4컷 22.71초","선언+달리기 성공 5컷 31.69초","근성게임 선언 직후 실제로 규칙을 활용해 달려 성공하는 행동을 붙임","SRT 3993.97~4002.94; C17 화면 근거"
"V7_10","B15","기능 축소","5컷 26.07초","3컷 15.74초","마피아 농담과 대표 도전만 남기고 허세·익숙함 반복은 B14·B16에 양보","SRT 4101.19~4110.94, 4118.94~4125.94; C18 화면 근거"
"V7_11","B17","엔딩 진입 압축","6컷 23.62초","5컷 18.63초","시청자 의존→끄고 싶음→온몸 긴장→편한 게임 희망의 감정 하강만 유지","SRT 4504.24~4513.94, 4678.49~4693.94"
